Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2021-12;Norte;Centro Hospitalar do Tâmega e Sousa, EPE;CHTS;41.2494561,-8.264901;Grupo C;1617051.4;375.0;359.34475555555554
2021-12;LVT;Hospital de Vila Franca de Xira, EPE;HVFX;38.952565, -8.992398;Grupo C;1202857.08;295.0;339.7901355932204
2022-12;Norte;Centro Hospitalar do Tâmega e Sousa, EPE;CHTS;41.2494561,-8.264901;Grupo C;1639487.69;416.0;328.42301482371795
2022-12;Centro;Centro Hospitalar Tondela-Viseu, EPE.;CHTV;40.516364, -8.0827433;Grupo D;1901881.81;417.0;380.07230415667465
2022-12;LVT;Centro Hospitalar Universitário Lisboa Central, EPE;CHULC;38.7166948, -9.1371248;Grupo E;33048568.28;6594.0;417.659593064402
2022-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;9137633.23;2184.0;348.6581665903541
2023-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, EPE;CHVNGE;41.1094138, -8.5972617;Grupo D;7832499.55;1489.0;438.35345589881354
2023-12;LVT;Hospital Distrital de Santarém, E.P.E.;HDS;39.2410946, -8.6937515;Grupo C;4991469.14;927.0;448.7117170082704
2023-12;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, EPE;CHTMAD;41.3031784, -7.7515252;Grupo D;1670592.77;389.0;357.88191302485006
2023-12;Norte;Centro Hospitalar do Tâmega e Sousa, EPE;CHTS;41.2494561,-8.264901;Grupo C;2049781.3;474.0;360.3694268635724
2023-12;Centro;Centro Hospitalar Tondela-Viseu, EPE.;CHTV;40.516364, -8.0827433;Grupo D;2131162.63;477.0;372.3205153738644
2023-12;Norte;Hospital da Senhora da Oliveira Guimarães, EPE;HSOG;41.4387173, -8.3086907;Grupo C;1826872.97;407.0;374.05261466011467
